Mainak Singha,Mainak,Singha,NASA GSFC,,,,,,
Alessandro Ignesti,Alessandro,Ignesti,INAF - Osservatorio di Padova,,,,,,
Andrea Botteon,Andrea,Botteon,INAF-IRA,,,,,,
Thomas Pasini,Thomas,Pasini,INAF-IRA,,,,,,
Quirino D'Amato,Quirino,D'Amato,Osservatorio di Arcetri,,,,,,
Filippo D'Ammando,Filippo,D'Ammando,INAF-IRA,,,,,,
Martin Bourne ,Martin,Bourne,"IoA & KICC, University of Cambridge",,,,,,
Marie-Lou Gendron-Marsolais,Marie-Lou,Gendron-Marsolais,Instituto de Astrofísica de Andalucía-CSIC,,,,,,
Majidul Rahaman,Majidul,Rahaman,"National Tsing Hua University (NTHU), Taiwan",,,,,,
Rebecca Smethurst,Rebecca ,Smethurst,University of Oxford,,,,,,
Tianyi Yang,Tianyi,Yang,The University of Edinburgh,,,,,,
Franco Vazza,Franco,Vazza,Università di Bologna,,,,,,
Antonio Pensabene,Antonio,Pensabene,University of Milano-Bicocca,,,,,,
Emily Escott,Emily,Escott,Durham University,,,,,,
Ann Njeri,Ann,Njeri,Newcastle University,,,,,,
Gulay Gurkan,Gulay ,Gurkan,University of Hertfordshire,,,,,,
Manuela Bischetti,Manuela,Bischetti,UniTs,,,,,,
Olmo Piana,Olmo,Piana,National Taiwan Normal University ,,,,,,
Jones Chilufya,Jones,Chilufya,University of Hertfordshire,,,,,,
Vernesa Smolcic,Vernesa,Smolcic,"Department of Physics, Faculty of Science, University of Zagreb",,,,,,
Philip Best,Philip,Best,IfA Edinburgh,,,,,,
Aisha Al Yazeedi,Aisha,Al Yazeedi,New York University Abu Dhabi ,,,,,,
Rohit Kondapally,Rohit,Kondapally,University of Edinburgh,,,,,,
Meriem Behiri,Meriem, Behiri,SISSA,,,,,,
Jose Afonso,Jose,Afonso,"Institute of Astrophysics and Space Sciences, Portugal",,,,,,
Jyoti Yadav,Jyoti,Yadav,Indian Institute of Astrophysics,,,,,,
